Timestamp,DeviceId,DeviceName,ActionType,LogonType,AccountDomain,AccountName,AccountSid,Protocol,FailureReason,IsLocalAdmin,LogonId,RemoteDeviceName,RemoteIP,RemoteIPType,RemotePort,InitiatingProcessAccountDomain,InitiatingProcessAccountName,InitiatingProcessAccountSid,InitiatingProcessAccountUpn,InitiatingProcessAccountObjectId,InitiatingProcessIntegrityLevel,InitiatingProcessTokenElevation,InitiatingProcessSHA1,InitiatingProcessSHA256,InitiatingProcessMD5,InitiatingProcessFileName,InitiatingProcessFileSize,InitiatingProcessVersionInfoCompanyName,InitiatingProcessVersionInfoProductName,InitiatingProcessVersionInfoProductVersion,InitiatingProcessVersionInfoInternalFileName,InitiatingProcessVersionInfoOriginalFileName,InitiatingProcessVersionInfoFileDescription,InitiatingProcessId,InitiatingProcessCommandLine,InitiatingProcessCreationTime,InitiatingProcessFolderPath,InitiatingProcessParentId,InitiatingProcessParentFileName,InitiatingProcessParentCreationTime,ReportId,AppGuardContainerId,AdditionalFields,InitiatingProcessSessionId,IsInitiatingProcessRemoteSession,InitiatingProcessRemoteSessionDeviceName,InitiatingProcessRemoteSessionIP,InitiatingProcessUniqueId
"Sep 19, 2025 3:49:28 AM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonFailed,Network,,administrator,,NTLM,InvalidUserNameOrPassword,,,workstation,80.94.95.198,Public,0,,,,,,,None,,,,,,,,,,,,0,,Invalid date,,0,,Invalid date,11897,,"{""IsLocalLogon"":false}",0,0,,,0
"Sep 19, 2025 3:01:17 AM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonFailed,Network,,administrator,,NTLM,InvalidUserNameOrPassword,,,workstation,80.94.95.198,Public,0,,,,,,,None,,,,,,,,,,,,0,,Invalid date,,0,,Invalid date,11776,,"{""IsLocalLogon"":false}",0,0,,,0
"Sep 19, 2025 2:46:06 AM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonFailed,Network,,test,,NTLM,InvalidUserNameOrPassword,,,mstsc,2.57.121.247,Public,0,,,,,,,None,,,,,,,,,,,,0,,Invalid date,,0,,Invalid date,11686,,"{""IsLocalLogon"":false}",0,0,,,0
"Sep 19, 2025 2:34:01 AM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonFailed,Network,,test,,NTLM,InvalidUserNameOrPassword,,,mstsc,2.57.121.247,Public,0,,,,,,,None,,,,,,,,,,,,0,,Invalid date,,0,,Invalid date,11547,,"{""IsLocalLogon"":false}",0,0,,,0
"Sep 19, 2025 1:57:23 AM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonFailed,Network,,slflarewinsysmo,,NTLM,InvalidUserNameOrPassword,,,windows7,79.76.123.251,Public,0,,,,,,,None,,,,,,,,,,,,0,,Invalid date,,0,,Invalid date,11456,,"{""IsLocalLogon"":false}",0,0,,,0
"Sep 19, 2025 1:43:03 AM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonFailed,Network,,administrator,,NTLM,InvalidUserNameOrPassword,,,workstation,80.94.95.198,Public,0,,,,,,,None,,,,,,,,,,,,0,,Invalid date,,0,,Invalid date,11317,,"{""IsLocalLogon"":false}",0,0,,,0
"Sep 19, 2025 1:41:23 AM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonFailed,Network,,slflarewinsysmo,,NTLM,InvalidUserNameOrPassword,,,windows7,79.76.123.251,Public,0,,,,,,,None,,,,,,,,,,,,0,,Invalid date,,0,,Invalid date,11306,,"{""IsLocalLogon"":false}",0,0,,,0
"Sep 19, 2025 1:25:27 AM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonFailed,Network,,slflarewinsysmo,,NTLM,InvalidUserNameOrPassword,,,windows7,79.76.123.251,Public,0,,,,,,,None,,,,,,,,,,,,0,,Invalid date,,0,,Invalid date,11226,,"{""IsLocalLogon"":false}",0,0,,,0
"Sep 19, 2025 1:10:24 AM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonFailed,Network,,administrator,,NTLM,InvalidUserNameOrPassword,,,workstation,80.94.95.198,Public,0,,,,,,,None,,,,,,,,,,,,0,,Invalid date,,0,,Invalid date,11203,,"{""IsLocalLogon"":false}",0,0,,,0
"Sep 19, 2025 1:09:29 AM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonFailed,Network,,slflarewinsysmo,,NTLM,InvalidUserNameOrPassword,,,windows7,79.76.123.251,Public,0,,,,,,,None,,,,,,,,,,,,0,,Invalid date,,0,,Invalid date,11201,,"{""IsLocalLogon"":false}",0,0,,,0
